,T_id,doi,title,abstract,authors,year,publisher,relevant
10711,TA019019,10.3390/insects10040118,Volatiles from Different Instars of Honeybee Worker Larvae and Their Food.,"(E)-β-Ocimene was the only volatile chemical found to be emitted by whole, liveworker larvae of Apis mellifera L. when sampling in the vapor phase. In additionto (E)-β-ocimene, there is evidence for the existence of other volatiles, but thechanges in their composition and contents remain unknown during larvaldevelopment, as are their differences from larvae to larval food. We investigatedvolatile components of worker larvae and larval food using solid phase dynamicextraction (SPDE) coupled with gas chromatography-mass spectrometry (GC-MS). Ninecompounds were identified with certainty and six tentatively, includingterpenoids, aldehydes, hydrocarbons, an ester and a ketone. The contents ofvolatiles in the second-instar worker larvae differ greatly from those in larvaeof other stages. This is mainly attributable to terpenoids, which resulted in thesecond-instar worker larvae having significantly higher amounts of overallvolatiles. Larval food contained significantly higher amounts of aldehydes andhydrocarbons than the corresponding larvae from the fourth to fifth-instar. Wediscovered volatiles in worker larvae and their food that were never reportedbefore; we also determined the content changes of these volatiles during larvaldevelopment.","Zhang, Haohao, Hou, Chunsheng, Dai, Pingli, Liu, Yongjun, Wu, Yanyan, Pang, Yonggang, Diao, Qingyun",2019,Insects,2
10754,TA019095,10.3390/molecules25122840,Costunolide Plays an Anti-Neuroinflammation Role in Lipopolysaccharide-InducedBV2 Microglial Activation by Targeting Cyclin-Dependent Kinase 2.,"Hyperactivation of microglia in the brain is closely related to neuroinflammationand leads to neuronal dysfunction. Costunolide (CTL) is a natural sesquiterpenelactone with wide pharmacological activities including anti-inflammation andantioxidation. In this study, we found that CTL significantly inhibited theproduction of inflammatory mediators including nitric oxide, IL-6, TNF-α, andPGE2 in lipopolysaccharide (LPS)-stimulated BV2 microglia. Moreover, CTLeffectively attenuated IKKβ/NF-κB signaling pathway activation. To identifydirect cellular target of CTL, we performed high-throughput reverse virtualscreening assay using scPDB protein structure library, and found cyclin-dependentkinase 2 (CDK2) was the most specific binding protein for CTL. We furtherconfirmed the binding ability of CTL with CDK2 using cellular thermal shift assay(CETSA) and drug affinity responsive target stability (DARTS) assays. Surfaceplasmon resonance analysis also supported that CTL specifically bound to CDK2with a dissociation constant at micromole level. Furthermore, knocking down CDK2obviously reversed the anti-inflammation effect of CTL via AKT/IKKβ/NF-κBsignaling pathway on BV-2 cells. Collectively, these results indicate that CTLinhibits microglia-mediated neuroinflammation through directly targeting CDK2,and provide insights into the role of CDK2 as a promising anti-neuroinflammationtherapeutic target.","Liu, Yan-Chen, Feng, Na, Li, Wei-Wei, Tu, Peng-Fei, Chen, Jian-Ping, Han, Jing-Yan, Zeng, Ke-Wu",2020,"Molecules (Basel, Switzerland)",2
10782,TA019138,10.3389/fpls.2021.740524,Metabolomics Analysis Reveals Drought Responses of Trifoliate Orange byArbuscular Mycorrhizal Fungi With a Focus on Terpenoid Profile.,"Soil water deficit seriously affects crop production, and soil arbuscularmycorrhizal fungi (AMF) enhance drought tolerance in crops by unclear mechanisms.Our study aimed to analyze changes in non-targeted metabolomics in roots oftrifoliate orange (Poncirus trifoliata) seedlings under well-watered and soildrought after inoculation with Rhizophagus intraradices, with a focus onterpenoid profile. Root mycorrhizal fungal colonization varied from 70% undersoil drought to 85% under soil well-watered, and shoot and root biomass wasincreased by AMF inoculation, independent of soil water regimes. A total of 643secondary metabolites in roots were examined, and 210 and 105 differentialmetabolites were regulated by mycorrhizal fungi under normal water and droughtstress, along with 88 and 17 metabolites being up-and down-regulated underdrought conditions, respectively. KEGG annotation analysis of differentialmetabolites showed 38 and 36 metabolic pathways by mycorrhizal inoculation undernormal water and drought stress conditions, respectively. Among them, 33metabolic pathways for mycorrhization under drought stress included purinemetabolism, pyrimidine metabolism, alanine, aspartate and glutamate metabolism,etc. We also identified 10 terpenoid substances, namely albiflorin, artemisinin(-)-camphor, capsanthin, β-caryophyllene, limonin, phytol, roseoside, sweroside,and α-terpineol. AMF colonization triggered the decline of almost alldifferential terpenoids, except for β-caryophyllene, which was up-regulated bymycorrhizas under drought, suggesting potential increase in volatile organiccompounds to initiate plant defense responses. This study provided an overview ofAMF-induced metabolites and metabolic pathways in plants under drought, focusingon the terpenoid profile.","Liang, Sheng-Min, Zhang, Fei, Zou, Ying-Ning, Kuča, Kamil, Wu, Qiang-Sheng",2021,Frontiers in plant science,2
10818,TA019200,10.3390/molecules25071730,Antibacterial and Antifungal Sesquiterpenoids from Aerial Parts of Anvilleagarcinii.,"Two new sesquiterpenoids belonging to the guaiane,4α,9α,10α-trihydroxyguaia-11(13)en-12,6α-olide (1), and germacrane,9β-hydroxyparthenolide-9-O-β-D-glucopyranoside (2), classes have been isolatedfrom the leaves of the Saudi medicinal plant Anvillea garcinii along with sevenknown compounds (3-9). The structures of the new metabolites were elucidated byspectroscopic analysis, including one-dimensional (1D) and two-dimensional (2D)Nuclear Magnetic Resonance (NMR) and high-resolution electrospray ionization massspectrometry (HR-ESIMS). The antimicrobial properties of 1-9 were screenedagainst seven different pathogenic microbes, and compounds 1-3 showed a potentantifungal activity.","Perveen, Shagufta, Alqahtani, Jawaher, Orfali, Raha, Aati, Hanan Y, Al-Taweel, Areej M, Ibrahim, Taghreed A, Khan, Afsar, Yusufoglu, Hasan S, Abdel-Kader, Maged S, Taglialatela-Scafati, Orazio",2020,"Molecules (Basel, Switzerland)",2
12684,TA022833,10.3390/ijms20184334,RNA-Seq de Novo Assembly and Differential Transcriptome Analysis of Chaga(Inonotus obliquus) Cultured with Different Betulin Sources and the Regulation ofGenes Involved in Terpenoid Biosynthesis.,"Chaga (Inonotus obliquus) is a medicinal fungus used in traditional medicine ofNative American and North Eurasian cultures. Several studies have demonstratedthe medicinal properties of chaga's bioactive molecules. For example, severalterpenoids (e.g., betulin, betulinic acid and inotodiol) isolated from I.obliquus cells have proven effectiveness in treating different types of tumorcells. However, the molecular mechanisms and regulation underlying thebiosynthesis of chaga terpenoids remain unknown. In this study, we report on theoptimization of growing conditions for cultured I. obliquus in presence ofdifferent betulin sources (e.g., betulin or white birch bark). It was found thatbetter results were obtained for a liquid culture pH 6.2 at 28 °C. In addition, ade novo assembly and characterization of I. obliquus transcriptome in thesegrowth conditions using Illumina technology was performed. A total of 219,288,500clean reads were generated, allowing for the identification of 20,072 transcriptsof I. obliquus including transcripts involved in terpenoid biosynthesis. Thedifferential expression of these genes was confirmed by quantitative-PCR. Thisstudy provides new insights on the molecular mechanisms and regulation of I.obliquus terpenoid production. It also contributes useful molecular resources forgene prediction or the development of biotechnologies for the alternativeproduction of terpenoids.","Fradj, Narimene, Gonçalves Dos Santos, Karen Cristine, de Montigny, Nicolas, Awwad, Fatima, Boumghar, Yacine, Germain, Hugo, Desgagné-Penix, Isabel",2019,International journal of molecular sciences,2
13912,TA025546,10.1186/1471-2164-13-464,A draft of the genome and four transcriptomes of a medicinal and pesticidalangiosperm Azadirachta indica.,"BACKGROUND: The Azadirachta indica (neem) tree is a source of a wide number ofnatural products, including the potent biopesticide azadirachtin. In spite of itswidespread applications in agriculture and medicine, the molecular aspects of thebiosynthesis of neem terpenoids remain largely unexplored. The current reportdescribes the draft genome and four transcriptomes of A. indica and attempts tocontextualise the sequence information in terms of its molecular phylogeny,transcript expression and terpenoid biosynthesis pathways. A. indica is the firstmember of the family Meliaceae to be sequenced using next generation sequencingapproach. RESULTS: The genome and transcriptomes of A. indica were sequencedusing multiple sequencing platforms and libraries. The A. indica genome isAT-rich, bears few repetitive DNA elements and comprises about 20,000 genes. Themolecular phylogenetic analyses grouped A. indica together with Citrus sinensisfrom the Rutaceae family validating its conventional taxonomic classification.Comparative transcript expression analysis showed either exclusive or enhancedexpression of known genes involved in neem terpenoid biosynthesis pathwayscompared to other sequenced angiosperms. Genome and transcriptome analyses in A.indica led to the identification of repeat elements, nucleotide composition andexpression profiles of genes in various organs. CONCLUSIONS: This study on A.indica genome and transcriptomes will provide a model for characterization ofmetabolic pathways involved in synthesis of bioactive compounds, comparativeevolutionary studies among various Meliaceae family members and help annotatetheir genomes. A better understanding of molecular pathways involved in theazadirachtin synthesis in A. indica will pave ways for bulk production ofenvironment friendly biopesticides.","Krishnan, Neeraja M, Pattnaik, Swetansu, Jain, Prachi, Gaur, Prakhar, Choudhary, Rakshit, Vaidyanathan, Srividya, Deepak, Sa, Hariharan, Arun K, Krishna, Pg Bharath, Nair, Jayalakshmi, Varghese, Linu, Valivarthi, Naveen K, Dhas, Kunal, Ramaswamy, Krishna, Panda, Binay",2012,BMC genomics,2
18368,TA034147,10.1038/s41598-025-86369-1,α-Copaene is a potent repellent against the Asian Citrus Psyllid Diaphorinacitri.,"The Asian Citrus Psyllid (ACP), Diaphorina citri, severely threatens citrusproduction worldwide by transmitting the greening (= Huanglongbing)-causingbacterium Candidatus Liberibacter asiaticus. There is growing evidence that thepush-pull strategy is suitable to partially mitigate HLB by repelling ACP withtransgenic plants engineered to produce repellents and attracting the vector toplants with a minimal disease transmission rate. Species that pull ACP away fromcommercial citrus plants have been identified, and transgenic plants that repelACP have been developed. The concept of a repellent-producing plant was firstdemonstrated with an Arabidopsis line engineered to overexpress a genecontrolling the synthesis of β-caryophyllene and other sesquiterpenes. We haveanalyzed the volatile organic compounds released by this Arabidopsis line andidentified α-humulene, α-copaene, and trace amounts of β-elemene, in addition toβ-caryophyllene. Behavioral measurements demonstrated that α-copaene repels ACPat doses ca. 100× lower than those needed for β-caryophyllene repellence. Incontrast, α-humulene is innocuous at the level emitted by the transgenic plant.We confirmed that a mixture of the three sesquiterpenes in the ratio 1:100:10repels ACP. Likewise, a commercial sample of copaiba oil containing the threesesquiterpenes, in a proportion similar to that in the transgenic plant, repelledACP.","Magnani, Rodrigo Facchini, Volpe, Haroldo Xavier Linhares, Luvizotto, Rejane Angélica Grigio, Mulinari, Tatiana Aparecida, Agostini, Thiago Trevisoli, Bastos, Jairo Kenupp, Ribeiro, Victor Pena, Carmo-Sousa, Michele, Wulff, Nelson Arno, Peña, Leandro, Leal, Walter S",2025,Scientific reports,2
18458,TA034318,10.3389/fpls.2025.1527477,Integrative analysis of metabolite and transcriptome reveals the biosyntheticpathway and candidate genes for iridoid glycoside biosynthesis in Neopicrorhizascrophulariiflora (Pennell) D.Y.Hong.,"Neopicrorhiza scrophulariiflora (Pennell) D.Y.Hong (N. scrophulariiflora) is animportant wild medicinal plant that belongs to the Plantaginaceae family. Itsmain active ingredients, picroside I (P-I) and picroside II (P-II), possessanti-inflammatory, anticancer, and antibacterial properties. Due tooverharvesting, N. scrophulariiflora resources are facing the risk of depletion,urgently requiring resource protection and rational utilization. However, thebiosynthetic pathways and related genes of active compounds in N.scrophulariiflora have not been fully investigated. In this study, widelytargeted metabolomics and RNA-seq technology were employed to perform a jointanalysis of the metabolome and transcriptome in different tissues of N.scrophulariiflora, including the roots, stems, and leaves. A total of 196flavonoids and 63 terpenoids were identified. Among the 158,254 annotated genes,74 were annotated as related to iridoid synthesis. Using bioinformatics methodssuch as clustering analysis, phylogenetic tree construction, and weighted geneco-expression network analysis (WGCNA), 43 candidate genes were identified thatmay be involved in the biosynthesis of picroside-I and picroside-II, of which 26genes were significantly correlated with the synthesis of picrosides and theirintermediates. Transcriptome analysis revealed the expression patterns ofdifferentially expressed genes, and metabolomic analysis revealed thedistribution characteristics of metabolites in different tissues of N.scrophulariiflora. Through qRT-PCR validation, we found that three NsF3H/NsF3Dgenes, four NsUGD/NsUPD genes, one Ns2HFD gene, and three NsSQM genes mayparticipate in the iridoid biosynthesis pathway. These findings provide importantgenetic and metabolomic information for an in-depth understanding of thebiosynthetic mechanisms of iridoids and lay the foundation for the protection andsustainable utilization of N. scrophulariiflora.","Rao, Ke, Liu, Siyu, Tang, Xiaohui, Jia, Guofu, Yang, Shaohua, Ren, Chaoxiang, Pei, Jin",2025,Frontiers in plant science,2
18718,TA034736,10.3390/polym17030348,Physicochemical Properties of Nanoencapsulated Essential Oils: OptimizingD-Limonene Preservation.,"Essential oils exhibit antioxidant properties but are prone to oxidativedegradation under environmental conditions, making their preservation crucial.Therefore, the purpose of this work was to evaluate the physicochemicalproperties of nanoencapsulated essential oils (EOs) extracted from the peel ofsweet lemon, mandarin, lime, and orange using four formulations of wall materialsconsisting of gum arabic (GA), maltodextrin (MD), and casein (CAS). The resultsshowed that EOs from sweet lemon, mandarin, lime, and orange showed highersolubility (79.5% to 93.5%) when encapsulated with GA/MD. Likewise, EOs fromsweet lemon showed the highest phenolic content when using GA/CAS (228.27 mgGAE/g sample), and the encapsulated EOs of sweet lemon and mandarin withGA/MD/CAS (1709 and 1599 μmol TE/g) had higher antioxidant capacity. On the otherhand, higher encapsulation efficiency was obtained in EOs of lime encapsulatedwith GA/MD (68.5%), and the nanoencapsulates of EOs from sweet lemon with GA/MDhad higher D-limonene content (613 ng/mL). Using gum arabic and maltodextrinincreased the encapsulation efficiency and D-limonene content in EO of sweetlemon. On the other hand, the formulations with casein were the most efficientwall materials for retaining D-limonene from the EOs of mandarin, lime, andorange.","Mori-Mestanza, Diner, Valqui-Rojas, Iraida, Caetano, Aline C, Culqui-Arce, Carlos, Cruz-Lacerna, Rosita, Cayo-Colca, Ilse S, Castro-Alayo, Efraín M, Balcázar-Zumaeta, César R",2025,Polymers,2
19792,TA035884,10.3390/molecules19068303,"Evidence for the involvement of spinal cord-inhibitory and cytokines-modulatorymechanisms in the anti-hyperalgesic effect of hecogenin acetate, a steroidalsapogenin-acetylated, in mice.","Hecogenin is a steroidal sapogenin largely drawn from the plants of the genusAgave, commonly known as 'sisal', and is one of the important precursors used bythe pharmaceutical industry for the synthesis of steroid hormones. Hecogeninacetate (HA) is a steroidal sapogenin-acetylated that produces antinociceptiveactivity. Thus, we evaluate the antihyperalgesic profile of HA in mice ininflammatory models, as well as its possible involvement with c-fos expression onspinal cord area and cytokines to produces analgesic profile. Acute pretreatmentwith HA (5, 10, or 20 mg/kg; i.p.) inhibited the development of mechanicalhyperalgesia induced by carrageenan, TNF-α, dopamine and PGE2. Additionally, theimmunofluorescence data demonstrated that acute pretreatment with HA, at alldoses tested, significantly inhibited Fos-like expression in the spinal corddorsal horn normally observed after carrageenan-inflammation. Moreover, HA didnot affect the motor performance of the mice as tested in the Rota rod test. Thisantinociceptive profile seems to be related, at least in part, to a reduction ofpro-inflammatory cytokines, as IL-1β. The present results suggest that HAattenuates mechanical hyperalgesia by blocking the neural transmission of pain atthe spinal cord levels and by cytokines-inhibitory mechanisms.","Quintans, Jullyana S S, Barreto, Rosana S S, de Lucca, Waldecy Jr, Villarreal, Cristiane F, Kaneto, Carla M, Soares, Milena B P, Branco, Alexsandro, Almeida, Jackson R G S, Taranto, Alex G, Antoniolli, Angelo R, Freitas, Rivelilson M, Quintans, Lucindo J Jr",2014,"Molecules (Basel, Switzerland)",2
20347,TA036440,10.3390/ijms17071068,Prodifferentiation Activity of Novel Vitamin D₂ Analogs PRI-1916 and PRI-1917 andTheir Combinations with a Plant Polyphenol in Acute Myeloid Leukemia Cells.,"1α,25-dihydroxyvitamin D₃ (1,25D3) is a powerful differentiation inducer foracute myeloid leukemia (AML) cells. However, 1,25D3 doses required fordifferentiation of AML cells may cause lethal hypercalcemia in vivo. There isevidence that vitamin D₂ is less toxic than vitamin D₃ in animals. Here, wedetermined the differentiation effects of novel analogs of 1α,25-dihydroxyvitaminD₂ (1,25D2), PRI-1916 and PRI-1917, in which the extended side chains of theirpreviously reported precursors (PRI-1906 and PRI-1907, respectively) underwentfurther 24Z (24-cis) modification. Using four human AML cell lines representingdifferent stages of myeloid maturation (KG-1a, HL60, U937, and MOLM-13), we foundthat the potency of PRI-1916 was slightly higher or equal to that of PRI-1906while PRI-1917 was significantly less potent than PRI-1907. We also demonstratedthat 1,25D2 was a less effective differentiation agent than 1,25D3 in these celllines. Irrespective of their differentiation potency, all the vitamin D₂derivatives tested were less potent than 1,25D3 in transactivating the DR3-typevitamin D response elements. However, similar to 1,25D3, both 1,25D2 and itsanalogs could strongly cooperate with the plant polyphenol carnosic acid ininducing cell differentiation and inhibition of G1-S cell cycle transition. Theseresults indicate that the 24Z modification has contrasting effects on thedifferentiation ability of PRI-1906 and PRI-1907 and that the addition of a plantpolyphenol could result in a similar extent of cell differentiation induced bydifferent vitamin D compounds. The enhanced antileukemic effects of the testedcombinations may constitute the basis for the development of novel approaches fordifferentiation therapy of AML.","Nachliely, Matan, Sharony, Ehud, Bolla, Narasimha Rao, Kutner, Andrzej, Danilenko, Michael",2016,International journal of molecular sciences,2
20459,TA036552,10.1186/s12974-015-0275-y,EP2-PKA signaling is suppressed by triptolide in lipopolysaccharide-inducedmicroglia activation.,"BACKGROUND: Microglia are key players for the inflammatory responses in thecentral nervous system. Suppression of microglial activation and the resultingproduction of proinflammatory molecules are considered a promising strategy toalleviate the progression of neurodegenerative disorders. Triptolide wasdemonstrated as a potent anti-inflammatory compound both in vitro and in vivo.The present study explored potential signal pathways of triptolide in thelipopolysaccharide (LPS)-induced inflammatory response using primary ratmicroglial cells. FINDINGS: Microglial cells were pretreated with triptolide andstimulated with LPS. To investigate the anti-inflammatory effect of triptolide,we used Griess reagent and Western blot for NO release and iNOS expression,respectively. Moreover, we applied microglia-conditioned medium to neuronal cellsand used the MTS assay to test cell viability. We found that triptolide inhibitedLPS-induced NO and iNOS synthesis in microglial cells, which in turn protectedneurons. To evaluate the involvement of the EP2 pathway, we used real-time PCRand Western blot to determine EP2 expression. We found that LPS induced a largeincrease in EP2 expression in microglia, and triptolide almost completelyinhibited LPS-induced EP2 expression. Using the selective EP2 agonist butaprostand the EP2 antagonist AH6809, we determined that triptolide inhibitedLPS-stimulated NO production in microglia mainly through the EP2 pathway.Additionally, by further treating triptolide-treated microglia with thedownstream PKA-specific activator 6-Bnz-cAMP or the Epac-specific activator8-pCPT-2-O-Me-cAMP, we found that 6-Bnz-cAMP but not 8-pCPT-2-O-Me-cAMP increasedNO production in triptolide-LPS treated microglia. These results indicate thatthe EP2-PKA pathway is very important for triptolide's effects. CONCLUSIONS:Triptolide inhibits LPS-stimulated NO production in microglia via a signalingmechanism involving EP2 and PKA. This finding may help establish thepharmacological function of triptolide in neurodegenerative disorders. Moreover,the observation of inflammatory EP2 signaling in primary microglia providesimportant evidence that EP2 regulates innate immunity in the central nervoussystem.","Zhang, Ting, Gong, Xiaoli, Hu, Guanzheng, Wang, Xiaomin",2015,Journal of neuroinflammation,2
20513,TA036606,10.18632/oncotarget.8152,Escin Ia suppresses the metastasis of triple-negative breast cancer by inhibitingepithelial-mesenchymal transition via down-regulating LOXL2 expression.,"The saponin fraction of Aesculus chinensis Bunge fruits (SFAC) could inhibit theinvasion and migration of MDA-MB-231 cells. Among which, escin Ia showed morepotent inhibition of the invasion than other five main saponin constituents. Itselectively reduced the expression of LOXL2 mRNA and promoted the expression ofE-cadherin mRNA, and prevented the EMT process of MDA-MB-231 cells andTNF-α/TGF-β-stimulated MCF-7 cells. Moreover, it reduced the LOXL2 level inMDA-MB-231 cells but not in MCF-7 cells. When MCF-7 cells were stimulated withTNF-α/TGF-β, transfected with LOXL2 or treated with hypoxia, escin Iadown-regulated the level of LOXL2 in MCF-7 cells. Meanwhile, escin Ia suppressedthe EMT process in LOXL2-transfected or hypoxia-treated MCF-7 cells. Of interest,escin Ia did not alter the level of HIF-1α in hypoxia-induced MCF-7 cells. InTNBC xenograft mice, the metastasis and EMT of MDA-MB-231 cells were suppressedby escin Ia. In conclusion, escin Ia was the main active ingredient of SFAC forthe anti-TNBC metastasis activity, and its action mechanisms involved inhibitionof EMT process by down-regulating LOXL2 expression.","Wang, Yuhui, Xu, Xiaotian, Zhao, Peng, Tong, Bei, Wei, Zhifeng, Dai, Yue",2016,Oncotarget,2
20515,TA036608,10.1590/1678-775720150540,Effects of budlein A on human neutrophils and lymphocytes.,"OBJECTIVE: In this study, we evaluated whether budlein A modulates the activationof innate and adaptive immune cells such as neutrophils and lymphocytes. MATERIALAND METHODS: Our research group has investigated several plant species andseveral compounds have been isolated, identified, and their medical potentialevaluated. Budlein A is a SL isolated from the species Aldama buddlejiformis andA. robusta (Asteraceae) and shows anti-inflammatory and anti-nociceptiveactivities. Advances in understanding how plant-derived substances modulate theactivation of innate and adaptive immune cells have led to the development of newtherapies for human diseases. RESULTS: Budlein A inhibited MPO activity, IL-6,CXCL8, IL-10, and IL-12 production and induces neutrophil apoptosis. In contrast,budlein A inhibited lymphocyte proliferation and IL-2, IL-10, TGF-β, and IFN-γproduction, but it did not lead to cell death. CONCLUSIONS: Collectively, ourresults indicate that budlein A shows distinct immunomodulatory effects on immunecells.","Knob, Carollinie Dias, Silva, Milena, Gasparoto, Thaís Helena, Oliveira, Carine Ervolino, Amôr, Nádia Ghinelli, Arakawa, Nilton Syogo, Costa, Fernando Batista, Campanelli, Ana Paula",2016,Journal of applied oral science : revista FOB,2
20767,TA036860,10.3892/mmr.2016.5431,Tanshinone IIA attenuates experimental autoimmune encephalomyelitis in rats.,"Multiple sclerosis (MS) is an inflammatory autoimmune neurodegenerative disease,which features focal demyelination and inflammatory cell infiltration of thebrain and the spinal cord. Tanshinone IIA (TSIIA), one of the major fat‑solublecomponents of Salvia miltiorrhiza (Danshen), has anti‑inflammatory,immunoregulatory and neuroprotective activity; however, its efficacy in MSremains unknown. The current study was designed to investigate the potentialtherapeutic function of TSIIA on MS in the experimental autoimmuneencephalomyelitis (EAE) rat model. In comparison to the vehicle control group,the TSIIA‑treated groups showed notably improved clinical symptoms andpathological changes, including central nervous system inflammatory cellinfiltration and demyelination. Following administration of TSIIA, the quantityof CD4+ T cells, CD8+ T cells and macrophages/microglia in the spinal cord werereduced to different extents. Furthermore, TSIIA was also shown to downregulateinterleukin (IL)‑17 and IL‑23 levels in the brain and serum of EAE rats. Theresults collectively provide evidence that TSIIA alleviates EAE and support itsutility as a novel therapy for MS.","Yan, Jun, Yang, Xue, Han, Dong, Feng, Juan",2016,Molecular medicine reports,2
20807,TA036902,10.3390/md9030334,Cytotoxic and antimicrobial activity of pseudopterosins and seco-pseudopterosinsisolated from the octocoral Pseudopterogorgia elisabethae of San Andrés andProvidencia Islands (Southwest Caribbean Sea).,"To expand the potential of pseudopterosins and seco-pseudopterosins isolated fromthe octocoral Pseudopterogorgia elisabethae of San Andrés and Providencia islands(southwest Caribbean Sea), we report the anti-microbial profile against fourpathogenic microorganisms (Staphylococcus aureus, Enterococcus faecalis,Pseudomonas aeruginosa and Candida albicans) and report a more complete cytotoxicprofile against five human cells lines (HeLa, PC-3, HCT116, MCF-7 and BJ) for thecompounds PsG, PsP, PsQ, PsS, PsT, PsU, 3-O-acetyl-PsU, seco-PsJ, seco-PsK andIMNGD. For the cytotoxic profiles, all compounds evaluated showed moderate andnon-selective activity against both tumor and normal cell lines, where PsQ andPsG were the most active compounds (GI₅₀ values between 5.8 μM to 12.0 μM). Withrespect to their anti-microbial activity the compounds showed good and selectiveactivity against the Gram-positive bacteria, while they did not show activityagainst the Gram-negative bacterium or yeast. PsU, PsQ, PsS, seco-PsK and PsGwere the most active compounds (IC₅₀ 2.9-4.5 μM) against S. aureus and PsG, PsUand seco-PsK showed good activity (IC₅₀ 3.1-3.8 μM) against E. faecalis,comparable to the reference drug vancomycin (4.2 μM).","Correa, Hebelin, Aristizabal, Fabio, Duque, Carmenza, Kerr, Russell",2011,Marine drugs,2
21067,TA037170,10.4103/0250-474X.107071,Biochemical Activities of Iranian Cymbopogon olivieri (Boiss) Bor. Essential Oil.,"Cymbopogon olivieri essential oil from aerial parts was analyzed by gaschromotography and gas chromatography-mass spectrometry and led to theidentification of 38 compounds. Piperitone (72.8%), 4-carene (11.8%) andβ-himachalene (7.6%) were found as the major components of the oil. Theantimicrobial activity was achieved using disc-diffusion and microbroth dilutionassays and microbicidal kinetics of oil was screened against differentmicroorganisms. The possible antioxidant activity of oil was evaluated bydiphenylpicrylhydrazyl free-radical scavenging system. The oil had excellentantimicrobial activity against Bacillus cereus, Staphylococcus epidermidis andStreptococcus pneumoniae. The oil exhibited inhibitory effect against Bacillussubtilis and fungi. Dvalues of oil were 12.5, 10 and 2.4 min for Escherichiacoli, Staphylococcus aureus and Candida albicans, respectively. The IC50 value ofCymbopogon olivieri oil was 35 mg/ml and its antioxidant activity was lower thanthat of butylated hydroxytoluene. Cymbopogon olivieri oil possesses compoundswith antimicrobial properties that can be used as antimicrobial agents.","Mahboubi, M, Kazempour, N",2012,Indian journal of pharmaceutical sciences,2
